lemma,Norval_frame,UD_frame,example,theta1,theta2,theta3,theta4
flammesikre,tr,nsubj-obj,de flammesikrer veggene,agent,patient,,
flammesikre,tr,nsubj-obj,stoffet flammesikrer veggene,cause,patient,,
flane,intr,nsubj,flanørene flaner,agent,,,
flanere,intr,nsubj,dikterne flanerer,theme,,,
flankere,tr,nsubj-obj,de flankerer rekken,theme,co-theme,,
flare,intr,nsubj,lyset flarer,patient,,,
flaske,impersPrtcl,expl,det flasker seg,formal,,,
flaskemate,tr,nsubj-obj,de flaskemater babyen,agent,recipient,,
flaskemate,tr,nsubj-obj,de flaskemater beholderen,agent,destination,,
flasse-av,intrPrtcl,nsubj,håret flasser av,patient,,,
flasse,intr,nsubj,håret flasser,agent,,,
flate-ut,trPrtcl,nsubj-obj,trykket flater den ut,cause,patient,,
flate-ut,trPrtcl,nsubj-obj,vi flater den ut,agent,patient,,
flate-ut,trPrtcl-obRefl,nsubj-obj,bildet flater seg ut,patient,,,
flate-ut,trPrtcl-obRefl,nsubj-obj,landskapet flater seg ut,theme,,,
flatne,intr,nsubj,bildet flatner,patient,,,
flatne,intr,nsubj,landskapet flatner,theme,,,
flattere,tr,nsubj-obj,hun flatterer ham,agent,patient,,
flattere,tr,nsubj-obj,utseendet flatterer ham,stimulus,experiencer,,
flaue,intr,nsubj,vinden flauer,patient,,,
fleipe,intr,nsubj,guttene fleiper,agent,,,
fleipe-med,intrObl-oblAbsinf,nsubj-advcl,de fleiper med å være seriøs,agent,topic,,
fleipe-med,intrObl-oblDECL,nsubj-advcl,de fleiper med at enden er nær,agent,topic,,
fleipe-med,intrObl-oblINTERR,nsubj-advcl,de fleiper med hvordan situasjonen kan forbedres,agent,topic,,
fleipe-med,intrObl-oblN,nsubj-obl,de fleiper med strømprisene,agent,topic,,
fleipe-med,intrObl-oblN,nsubj-obl,vi fleiper med jentene,agent,co-agent,,
flekke-til,trPrtcl,nsubj-obj,han flekker til slipset,agent,patient,,
flekke-til,trPrtcl,nsubj-obj,sausen flekker til slipset,cause,patient,,
flekke-til,trPrtcl-obRefl,nsubj-obj,gutten flekker seg til,agent,destination,,
flekke,tr,nsubj-obj,sausen flekker slipset,cause,patient,,
flekke,tr,nsubj-obj,ungen flekker slipset,agent,patient,,
flekse,intr,nsubj,kroppsbyggerne flekser,agent,,,
flekse,intr,nsubj,musklene flekser,theme,,,
flektere,intr,nsubj,verbene flekterer,theme,,,
flenge-opp,trPrtcl,nsubj-obj,han flenger opp skjorten,agent,patient,,
flenge-opp,trPrtcl-obRefl,nsubj-obj,han flenger seg opp,agent,patient,,
flenge,tr,nsubj-obj,han flenger skjorten,agent,patient,,
flense,tr,nsubj-obj,fangerne flenser hvalen,agent,patient,,
flerdoble,tr,nsubj-obj,de flerdobler beløpet,agent,patient,,
flerre-opp,trPrtcl,nsubj-obj,han flerrer opp skjorten,agent,patient,,
flette-av,trPrtcl,nsubj-obj,de fletter av de ekstra trådene,agent,theme,,
flette-inn,trPrtcl,nsubj-obj,hun fletter inn kommentaren,agent,theme,,
flette-inn,trPrtcl-obDECL,nsubj-ccomp,hun vil flette inn at det skjedde ufrivillig,agent,theme,,
flette-sammen,trPrtcl,nsubj-obj,de fletter sammen trådene,agent,patient,,
flette,tr,nsubj-obj,de fletter kurver,agent,product,,
flette,tr-obRefl,nsubj-obj,tråden fletter seg,patient,null-role,,
flikke-på,intrObl-oblN,nsubj-obl,vi flikker på artikkelen,agent,patient,,
flikke,tr,nsubj-obj,skomakeren flikker skoene,agent,destination,,
flimre-for,impersObl-oblN,expl-obl,det flimrer for øynene,formal,location,,
flimre,intr,nsubj,bildene flimrer,theme,,,
flippe,intr,nsubj,foreldrene flipper,experiencer,,,
flippe-ut,intrPrtcl,nsubj,konkurrentene flipper ut,experiencer,,,
flire-av,intrObl-oblN,nsubj-obl,mennene flirer av oss,agent,stimulus,,
flire,intr,nsubj,mennene flirer,agent,,,
fliselegge,tr,nsubj-obj,vi fliselegger badet,agent,destination,,
flise-opp,trPrtcl,nsubj-obj,vi fliser dem opp,agent,patient,,
flise-opp,trPrtcl-obRefl,nsubj-obj,ledningen fliser seg opp,patient,null-role,,
flise,tr-obRefl,nsubj-obj,tauet fliser seg,patient,null-role,,
flislegge,tr,nsubj-obj,vi flislegger badegulvet,agent,destination,,
fli,tr,nsubj-obj,foreldrene flir barna,agent,patient,,
fli,tr-obRefl,nsubj-obj,hun flir seg,agent,null-role,,
floke-sammen,trPrtcl-obRefl,nsubj-obj,trådene floker seg sammen &,patient,null-role,,
floke-sammen_trPrtcl,trPrtcl,nsubj-obj,vi floker sammen trådene,agent,patient,,
floke-til,trPrtcl-obRefl,nsubj-obj,garnet floker seg til,patient,null-role,,
floke,tr,nsubj-obj,de floker taukveilene,agent,theme,,
floke,tr-obRefl,nsubj-obj,ledningen floker seg,patient,null-role,,
flokke,tr-obRefl,nsubj-obj,fuglene flokker seg,theme,null-role,,
flokse,intr,nsubj,kurtisanene flokser,agent,,,
flomme,intr,nsubj,vannet flommer,theme,,,
flomme-over,intrPrtcl,nsubj,elven flommer over,source,,,
floppe,intr,nsubj,kandidatene flopper,agent,,,
floragrafere,intr,nsubj,gratulantene floragraferer,agent,,,
floragrafere,tr-obDir,nsubj-obj-obl,vi floragraferer blomstene til deg,agent,theme,orientation,
florere,intr,nsubj,ryktene florerer,theme,,,
flotte,tr-obRefl,nsubj-obj,parvenyene flotter seg,agent,null-role,,
flukte,tr,nsubj-obj,han flukter ballen,agent,theme,,
fluktuere,intr,nsubj,verdiene fluktuerer,patient,,,
fluorescere,intr,nsubj,stoffet fluorescerer,theme,,,
fluorescere,tr,nsubj-obj,forskerne fluorescerer stoffet,agent,patient,,
fluorescere,tr,nsubj-obj,prosessen fluorescerer stoffet,cause,patient,,
fluore,tr,nsubj-obj,fluoren fluorer stoffet,cause,patient,,
fluore,tr,nsubj-obj,vi fluorer stoffet,agent,patient,,
fluoridere,tr,nsubj-obj,de fluoriderer tannpastaen,agent,patient,,
fluoridere,tr,nsubj-obj,prosessen fluoriderer tannpastaen,cause,patient,,
fluorisere,tr,nsubj-obj,de fluoriserer drikkevannet,agent,patient,,
fluorisere,tr,nsubj-obj,utslippet fluoriserer drikkevannet,cause,patient,,
flyge,intr,nsubj,fuglene flyger,theme,,,
flyge,intr-suDir,nsubj-obl,flyene flyger til utlandet,theme,orientation,,
flyge,tr,nsubj-obj,annenpiloten flyger maskinen,agent,theme,,
fly,intr,nsubj,fuglene flyr,theme,,,
fly,intr-suDir,nsubj-obl,flyene flyr til utlandet,theme,orientation,,
flykte-fra,intrObl-oblEqSuInf,nsubj-advcl,han flykter fra å innse sine forsømmelser,theme,source,,
flykte,intr-suDir,nsubj-obl,de flykter fra landet,theme,orientation,,
fly-road,tr,nsubj-obj,de flyr ruten,theme,trajectory,,
flyte,intr-suDir,nsubj-obl,stokkene flyter nedover,theme,orientation,,
flyte-over-av,intrPrtclObl-oblN,nsubj-obl,beholderne flyter over av søppel,source,theme,,
flyte-over,intrPrtcl,nsubj,bassenget flyter over,source,,,
flyte-på,intrObl-oblN,nsubj-obl,vi flyter på suksessen,theme,location,,
flyte-sammen,intrPrtcl,nsubj,elvene flyter sammen,patient,,,
fly-trip,tr,nsubj-obj,de flyr stillehavsruten,theme,trajectory,,
flytte,intr,nsubj,naboene flytter,theme,,,
flytte-på,intrObl-oblN,nsubj-obl,vi flytter på møblene,agent,theme,,
flytte-på,intrObl-oblRefl,nsubj-obl,hanvakten flytter på seg,theme,null-role,,
flytte,tr-obDir,nsubj-obj-obl,vi flytter sofaen hit,agent,theme,orientation,
flytte,tr-obRefl,nsubj-obj,vakten flytter seg,theme,null-role,,
fly-vehicle,tr,nsubj-obj,de flyr maskinen,agent,theme,,
flø,impers,expl,det flør,formal,,,
flø,intr,nsubj,de flør,patient,,,
flømme,intr,nsubj,de flømmer,theme,,,
flømme-over,intrPrtcl,nsubj,de flømmer over,source,,,
flørte,intr,nsubj,de flørter,agent,,,
flørte-med,intrObl-oblN,nsubj-obl,vi flørter med dem,agent,co-agent,,
fløte,tr-obDir,nsubj-obj-obl,vi fløter tømmeret ned elva,agent,theme,orientation,
fløyte,intr,nsubj,dommeren fløyter,agent,,,
fløyte,tr-obDir,nsubj-obj-obl,vi fløyter tømmeret ned elva,agent,theme,orientation,
flåhakke,tr,nsubj-obj,de flåhakker røttene,agent,patient,,
flåse,intr,nsubj,ungdommene flåser,agent,,,
flåse-med,intrObl-oblAbsinf,nsubj-advcl,de flåser med å gå i teater,agent,topic,,
flåse-med,intrObl-oblDECL,nsubj-advcl,de flåser med at enden er nær,agent,topic,,
flåse-med,intrObl-oblINTERR,nsubj-advcl,de flåser med hvordan situasjonen kan forbedres,agent,topic,,
flåse-med,intrObl-oblN,nsubj-obl,de flåser med religion,agent,topic,,
flåse-med,intrObl-oblN,nsubj-obl,hun flåser med guttene,agent,co-agent,,
flå,tr,nsubj-obj,jegeren flår elgen,agent,source,,
fnise-av,intrObl-oblAbsinf,nsubj-advcl,hun fniser av å skulle bli medlem av et parti,agent,stimulus,,
fnise-av,intrObl-oblDECL,nsubj-advcl,hun fniser av at ledelsen vil ha henne som medlem,agent,stimulus,,
fnise-av,intrObl-oblN,nsubj-obl,jentene fniser av guttene,agent,stimulus,,
fnise,intr,nsubj,jentene fniser,agent,,,
fnyse-av,intrObl-oblAbsinf,nsubj-advcl,hun fnyser av å skulle bli medlem av et parti,agent,stimulus,,
fnyse-av,intrObl-oblDECL,nsubj-advcl,naboene fnyser av at vi foreslår en lekeplass,agent,stimulus,,
fnyse-av,intrObl-oblN,nsubj-obl,naboene fnyser av forslaget,agent,stimulus,,
fnyse,intr,nsubj,naboene fnyser,agent,,,
fokusere,intr,nsubj,fotografen fokuserer,agent,,,
fokusere-på,intrObl-oblDECL,nsubj-advcl,vi fokuserer på at noe må gjøres,agent,topic,,
fokusere-på,intrObl-oblEqSuInf,nsubj-advcl,vi fokuserer på å utbedre skadene,agent,topic,,
fokusere-på,intrObl-oblINTERR,nsubj-advcl,vi fokuserer på hvorvidt noe må gjøres straks,agent,topic,,
fokusere-på,intrObl-oblN,nsubj-obl,vi fokuserer på sikkerhet,agent,topic,,
fokusere-på,trObl-oblDECL,nsubj-obj-advcl,vi fokuserer oppmerksomheten på at ledningsnettet er i oppløsning,agent,theme,topic,
fokusere-på,trObl-oblEqSuInf,nsubj-obj-advcl,vi fokuserer oppmerksomheten på å få telefonen til å virke,agent,theme,topic,
fokusere-på,trObl-oblINTERR,nsubj-obj-advcl,vi fokuserer oppmerksomheten på hordan vi kan få telefonen til å virke,agent,theme,topic,
fokusere-på,trObl-oblN,nsubj-obj-obl,vi fokuserer oppmerksomheten på saken,agent,theme,topic,
fokusere,tr,nsubj-obj,algoritmen fokuserer bildet,cause,patient,,
fokusere,tr,nsubj-obj,fotografen fokuserer bildet,agent,patient,,
folde-sammen,trPrtcl,nsubj-obj,vi folder laknene sammen,agent,patient,,
folde,tr,nsubj-obj,kirkegjengerne folder hendene,agent,patient,,
folde-ut,trPrtcl,nsubj-obj,vi folder ut flagget,agent,patient,,
fole,intr,nsubj,hesten foler,agent,,,
foliere,tr,nsubj-obj,forlaget folierer sidene,agent,destination,,
folke,tr-obRefl,nsubj-obj,ungdommene folker seg,theme,null-role,,
folne,intr,nsubj,blomstene folner,patient,,,
fomle,intr,nsubj,myndighetene fomler,agent,,,
fomle-med,intrObl-oblN,nsubj-obl,vi fomler med redskapene,agent,theme,,
fonne,tr-obRefl,nsubj-obj,snøen fonner seg,theme,null-role,,
forakte-for,trObl-oblDECL,nsubj-obj-advcl,vi forakter dem for at de oppfører seg slik,experiencer,stimulus,attribute,
forakte-for,trObl-oblEqObInf,nsubj-obj-advcl,vi forakter dem for å oppføre seg slik,experiencer,stimulus,attribute,
forakte-for,trObl-oblINTERR,nsubj-obj-advcl,vi forakter dem for hvordan de oppfører seg,experiencer,stimulus,attribute,
forakte-for,trObl-oblN,nsubj-obj-obl,vi forakter dem for deres unnfallenhet,experiencer,stimulus,attribute,
forakte,tr,nsubj-obj,beboerne forakter nykommerne,experiencer,stimulus,,
forandre-på,intrObl-oblINTERR,nsubj-advcl,vi forandrer på hvordan vi går frem,agent,patient,,
forandre-på,intrObl-oblN,nsubj-obl,vi forandrer på teksten,agent,patient,,
forandre-til,trObl-oblN,nsubj-obj-obl,vi forandrer teksten til et dikt,agent,patient,result,
forandre,tr,nsubj-obj,de forandrer oppskriften,agent,patient,,
forandre,tr,nsubj-obj,internett forandrer verden,cause,patient,,
forandre,tr-obRefl,nsubj-obj,hun forandrer seg,agent,patient,,
forankre-i,trObl-oblDECL,nsubj-obj-advcl,de forankrer historien i at dette en gang skjedde,agent,theme,source,
forankre-i,trObl-oblEqSuInf,nsubj-obj-advcl,vi forankrer strategien i å gå hardt ut i begynnelsen,agent,theme,source,
forankre-i,trObl-oblINTERR,nsubj-obj-advcl,vi forankrer historien i hvordan det virkelig skjedde,agent,theme,source,
forankre-i,trObl-oblN,nsubj-obj-obl,vi forankrer fortellingen i lokal tradisjon,agent,theme,source,
forankre,tr,nsubj-obj,de forankrer historien,agent,theme,,
forankre,tr-obRefl,nsubj-obj,fortellingen forankrer seg,theme,null-role,,
forankre,trScpr-scObLoc,nsubj-obj-obl,vi forankrer historien i en lokal tradisjon,agent,theme,source,
foranledige,tr,nsubj-obj,dette foranlediger hendelsene,cause,patient,,
foranledige,tr,nsubj-obj,vi foranlediger hendelsene,agent,patient,,
foranledige,tr-obDECL,nsubj-ccomp,dette foranlediger at huset bygges,cause,patient,,
foranledige,tr-obDECL,nsubj-ccomp,vi foranlediger at huset bygges,agent,patient,,
foranstalte,tr,nsubj-obj,dette foranstalter hendelsen,cause,patient,,
foranstalte,tr,nsubj-obj,vi foranstalter hendelsen,agent,patient,,
foranstalte,tr-obDECL,nsubj-ccomp,dette foranstalter at huset bygges,cause,patient,,
foranstalte,tr-obDECL,nsubj-ccomp,vi foranstalter at huset bygges,agent,patient,,
forarbeide,tr,nsubj-obj,de forarbeider produktene,agent,patient,,
forarbeide,tr,nsubj-obj,prosessen forarbeider produktene,cause,patient,,
forarge-over,trObl-obRefl-oblDECL,nsubj-obj-advcl,de forarger seg over at han sang foran kirkedøren,experiencer,null-role,stimulus,
forarge-over,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,de forarger seg over å måtte høre slikt,experiencer,null-role,stimulus,
forarge-over,trObl-obRefl-oblINTERR,nsubj-obj-advcl,de forarger seg over hvordan alt utviklet seg,experiencer,null-role,stimulus,
forarge-over,trObl-obRefl-oblN,nsubj-obj-obl,hun forarger seg over dem,experiencer,null-role,stimulus,
forarge,tr,nsubj-obj,hendelsen forarger naboene,stimulus,experiencer,,
forarge,tr-suDECL,csubj-obj,at han sang foran kirkedøren forarget mange,stimulus,experiencer,,
forarme,tr,nsubj-obj,de forarmer landbruket,agent,patient,,
forarme,tr,nsubj-obj,liberalismen forarmer landbruket,cause,patient,,
forbanne-på,trObl-obRefl-oblDECL,nsubj-obj-advcl,de forbanner seg på at det skal gå bedre neste gang,experiencer,null-role,stimulus,
forbanne-på,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun forbanner seg på å gjøre det bedre neste gang,experiencer,null-role,stimulus,
forbanne-på,trObl-obRefl-oblN,nsubj-obj-obl,hun forbanner seg på det,experiencer,null-role,stimulus,
forbanne,tr,nsubj-obj,vi forbanner utviklingen,agent,theme,,
forbarme-over,trObl-obRefl-oblN,nsubj-obj-obl,hun forbarmer seg over dem,agent,null-role,theme,
forbarme,tr-obRefl,nsubj-obj,hun forbarmer seg,experiencer,null-role,,
forbause-over,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun forbauser seg over at det skjedde på nytt,experiencer,null-role,stimulus,
forbause-over,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun forbauser seg over å måtte høre det på nytt,experiencer,null-role,stimulus,
forbause-over,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun forbauser seg over hvordan det skjedde,experiencer,null-role,stimulus,
forbause-over,trObl-obRefl-oblN,nsubj-obj-obl,hun forbauser seg over tallene,experiencer,null-role,stimulus,
forbause,trExpnSu-expnDECL,expl-obj-csubj,det forbauser dem at de blir omtalt slik,formal,experiencer,stimulus,
forbause,trExpnSu-expnEqObInf,expl-obj-csubj,det forbauser dem å bli omtalt slik,formal,experiencer,stimulus,
forbause,tr,nsubj-obj,utviklingen forbauser ekspertene,stimulus,experiencer,,
forbause,tr-suDECL,csubj-obj,at det regner forbauser dem,stimulus,experiencer,,
forbedre,tr,nsubj-obj,de forbedrer produktet,agent,patient,,
forbedre,tr,nsubj-obj,fabrikken forbedrer produktet,cause,patient,,
forbedre,tr-obRefl,nsubj-obj,laget forbedrer seg,patient,null-role,,
forbeholde,ditr-iobRefl,nsubj-iobj-obj,hun forbeholder seg visse rettigheter,agent,null-role,theme,
forbeholde,ditr,nsubj-iobj-obj,hun forbeholder styret enkelte goder,agent,beneficiary,theme,
forbeine,tr,nsubj-obj,skaden forbeiner brusken,cause,patient,,
forbeine,tr-obRefl,nsubj-obj,brusken forbeiner seg,patient,null-role,,
forbene,tr,nsubj-obj,skaden forbener brusken,cause,patient,,
forbene,tr-obRefl,nsubj-obj,brusken forbener seg,patient,null-role,,
forberede-for,trObl-oblDECL,nsubj-obj-advcl,de forbereder anlegget for at det kan gå galt,agent,beneficiary,goal,
forberede-for,trObl-oblDECL,nsubj-obj-advcl,instruksen forbereder dem for at det kan gå galt,pivot,experiencer,topic,
forberede-for,trObl-oblEqObInf,nsubj-obj-advcl,hun forbereder ham for å møte direksjonen,agent,beneficiary,goal,
forberede-for,trObl-oblEqObInf,nsubj-obj-advcl,instruksen forbereder ham for å møte direksjonen,pivot,experiencer,topic,
forberede-for,trObl-oblINTERR,nsubj-obj-advcl,de forbereder anlegget for hva som kan gå galt,agent,beneficiary,goal,
forberede-for,trObl-oblINTERR,nsubj-obj-advcl,instruksen forbereder dem for hva som kan gå galt,pivot,experiencer,topic,
forberede-for,trObl-oblN,nsubj-obj-obl,de forbereder anlegget for belastningen,agent,beneficiary,goal,
forberede-for,trObl-oblN,nsubj-obj-obl,instruksen forbereder dem for belastningen,pivot,experiencer,topic,
forberede-for,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun forbereder seg for at det kan gå galt,agent,null-role,theme,
forberede-for,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun forbereder seg for å måtte reise videre,agent,null-role,theme,
forberede-for,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun forbereder seg for hva som kan gå galt,agent,null-role,theme,
forberede-for,trObl-obRefl-oblN,nsubj-obj-obl,hun forbereder seg for utfallet,agent,null-role,theme,
forberede-på,trObl-oblDECL,nsubj-obj-advcl,hun forbereder ham på at det kan gå galt,agent,beneficiary,goal,
forberede-på,trObl-oblDECL,nsubj-obj-advcl,instruksen forbereder ham på at det kan gå galt,pivot,experiencer,topic,
forberede-på,trObl-oblEqObInf,nsubj-obj-advcl,hun forbereder ham på å møte direksjonen,agent,beneficiary,goal,
forberede-på,trObl-oblEqObInf,nsubj-obj-advcl,instruksen forbereder ham på å møte direksjonen,pivot,experiencer,topic,
forberede-på,trObl-oblINTERR,nsubj-obj-advcl,hun forbereder ham på hva som kan gå galt,agent,beneficiary,goal,
forberede-på,trObl-oblINTERR,nsubj-obj-advcl,instruksen forbereder ham på hva som kan gå galt,pivot,experiencer,topic,
forberede-på,trObl-oblN,nsubj-obj-obl,hun forbereder ham på resultatet,agent,beneficiary,goal,
forberede-på,trObl-oblN,nsubj-obj-obl,instruksen forbereder ham på resultatet,pivot,experiencer,topic,
forberede-på,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun forbereder seg på at det kan gå galt,agent,null-role,theme,
forberede-på,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun forbereder seg på å reise videre,agent,null-role,theme,
forberede-på,trObl-obRefl-oblN,nsubj-obj-obl,hun forbereder seg på reisen,agent,null-role,theme,
forberede-til,trObl-oblEqObInf,nsubj-obj-advcl,instruksen forbereder laget til å spille den avgjørende kampen,pivot,experiencer,topic,
forberede-til,trObl-oblEqObInf,nsubj-obj-advcl,treneren forbereder laget til å spille den avgjørende kampen,agent,beneficiary,goal,
forberede-til,trObl-obRefl-oblDECL,nsubj-obj-advcl,han forbereder seg til at premien skal bli hans,agent,null-role,theme,
forberede-til,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun forbereder seg til å reise,agent,null-role,theme,
forberede-til,trObl-obRefl-oblN,nsubj-obj-obl,hun forbereder seg til forestillingen,agent,null-role,theme,
forberede,tr,nsubj-obj,komitÃ©en forbereder møtet,agent,theme,,
forberede,tr-obRefl,nsubj-obj,hun forbereder seg,agent,null-role,,
forbigå,tr,nsubj-obj,styret forbigår kandidaten,agent,theme,,
forbinde-med,trObl-oblN,nsubj-obj-obl,vi forbinder krisen med utviklingen,agent,patient,co-patient,
forbinde,tr,nsubj-obj,legen forbinder armen,agent,patient,,
forbitre,tr,nsubj-obj,betingelsene forbitrer utviklingen,stimulus,experiencer,,
forblende,tr,nsubj-obj,argumentasjonen forblender politikeren,stimulus,experiencer,,
forbli,copN,nsubj-xcomp,han forblir bonde,theme,attribute,,
forbli,intrObl-oblLoc,nsubj-obl,de forblir her,theme,location,,
forbli,intrScpr-scSuNrg-scPred,nsubj-xcomp,vi forblir glad,theme,attribute,,
forblinde,tr,nsubj-obj,argumentene forblinder politikeren,stimulus,experiencer,,
forbløffe,trExpnSu-expnDECL,expl-obj-csubj,det forbløffer oss at reglene forandres,formal,experiencer,stimulus,
forbløffe,tr,nsubj-obj,fremgangen forbløffer ekspertene,stimulus,experiencer,,
forbløffe,tr-suDECL,csubj-obj,at reglene forandres forbløffer oss,stimulus,experiencer,,
forblø,intr,nsubj,pasienten forblør,patient,,,
forbrenne,intr,nsubj,næringsstoffer forbrenner,patient,,,
forbrenne,tr,nsubj-obj,de forbrenner kull,agent,patient,,
forbrenne,tr,nsubj-obj,stoffene forbrenner fett,cause,patient,,
forbrenne,tr-obRefl,nsubj-obj,hun forbrenner seg,patient,null-role,,
forbruke,tr,nsubj-obj,de forbruker godene,agent,patient,,
forbryte-mot,trObl-obRefl-oblN,nsubj-obj-obl,politikerne forbryter seg mot lovene,agent,null-role,theme,
forbryte,tr-obRefl,nsubj-obj,politikerne forbryter seg,agent,null-role,,
forby,ditr,nsubj-iobj-obj,hun forbyr deg alt mulig,agent,beneficiary,theme,
forby,ditr,nsubj-iobj-obj,loven forbyr deg alt mulig,cause,beneficiary,theme,
forby,ditr-obEqIobInf,nsubj-iobj-xcomp,jeg forbyr deg å gå,agent,beneficiary,theme,
forby,ditr-obEqIobInf,nsubj-iobj-xcomp,loven forbyr deg å gå,cause,beneficiary,theme,
forby,tr,nsubj-obj,de forbyr hodeplagg,agent,theme,,
forby,tr,nsubj-obj,loven forbyr hodeplagg,cause,theme,,
forby,tr-obDECL,nsubj-ccomp,loven forbyr at huset bygges,cause,theme,,
forby,tr-obDECL,nsubj-ccomp,vi forbyr at huset bygges,agent,theme,,
forbytte-med,trObl-oblN,nsubj-obj-obl,vi forbytter våre sko med deres sko,agent,theme,co-theme,
forbytte,tr,nsubj-obj,de forbytter skoene,agent,theme,,
fordampe,intr,nsubj,vannet fordamper,patient,,,
fordampe,tr,nsubj-obj,kjemikeren fordamper stoffet,agent,patient,,
fordampe,tr,nsubj-obj,vinden fordamper fuktigheten,cause,patient,,
fordanske,tr,nsubj-obj,de fordansker teksten,agent,patient,,
fordanske,tr,nsubj-obj,ordvalget fordansker teksten,cause,patient,,
fordele-på,trObl-oblN,nsubj-obj-obl,vi fordeler dem på oss,agent,theme,goal,
fordele,tr,nsubj-obj,de fordeler godene,agent,theme,,
forderves,intr,nsubj,man forderves i sin sjel,patient,,,
forderve,tr,nsubj-obj,fristelsene forderver sjelene,cause,patient,,
fordjupe-i,trObl-obRefl-oblAbsinf,nsubj-obj-advcl,han fordjuper seg i å forstå historien,agent,null-role,topic,
fordjupe-i,trObl-obRefl-oblINTERR,nsubj-obj-advcl,han fordjuper seg i hva som berettes,agent,null-role,topic,
fordjupe-i,trObl-obRefl-oblN,nsubj-obj-obl,hun fordjuper seg i historien,agent,null-role,topic,
fordjupe,tr-obRefl,nsubj-obj,hun fordjuper seg,agent,null-role,,
fordoble,tr,nsubj-obj,de fordobler antallet,agent,patient,,
fordoble,tr,nsubj-obj,målingene fordobler estimatet,cause,patient,,
fordoble,tr-obRefl,nsubj-obj,antallet fordobler seg,patient,null-role,,
fordra,tr,nsubj-obj,de fordrar ikke naboene,experiencer,stimulus,,
fordra,tr-obEqSuInf,nsubj-xcomp,hun fordrar ikke å sitte først,experiencer,stimulus,,
fordreie,tr,nsubj-obj,de fordreier sannheten,agent,patient,,
fordreie,tr,nsubj-obj,stilen fordreier sannheten,cause,patient,,
fordre,tr,nsubj-obj,de fordrer lønnstillegg,agent,topic,,
fordre,tr,nsubj-obj,større innsats fordrer lønnstillegg,theme,source,,
fordre,tr-obDECL,nsubj-ccomp,trivsel fordrer at huset bygges,theme,source,,
fordre,tr-obDECL,nsubj-ccomp,vi fordrer at huset bygges,agent,topic,,
fordre,tr-obEqSuInf,nsubj-xcomp,han fordrer å komme først,agent,topic,,
fordre,tr-obEqSuInf,nsubj-xcomp,seier fordrer å komme først,theme,source,,
fordriste-til,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun fordrister seg til å snakke åpent,agent,null-role,theme,
fordriste-til,trObl-obRefl-oblN,nsubj-obj-obl,hun fordrister seg til et forslag,agent,null-role,theme,
fordriste,tr-obRefl,nsubj-obj,hun fordrister seg,agent,null-role,,
fordrive-fra,trObl-oblN,nsubj-obj-obl,vi fordriver dem fra byen,agent,theme,source,
fordrive,tr,nsubj-obj,exorsisten fordriver demonene,agent,theme,,
fordufte,intr,nsubj,gjestene fordufter,theme,,,
fordumme,tr,nsubj-obj,influenserne fordummer folk,agent,patient,,
fordumme,tr,nsubj-obj,tekstene fordummer folk,cause,patient,,
fordunkle,tr,nsubj-obj,kjeltringen fordunkler sannheten,agent,patient,,
fordunkle,tr,nsubj-obj,tekstene fordunkler sannheten,cause,patient,,
fordunste-bort,intrPrtcl,nsubj,fuktigheten fordunster bort,patient,,,
fordunste,intr,nsubj,fuktigheten fordunster,patient,,,
fordunste,tr,nsubj-obj,de fordunster fuktigheten,agent,patient,,
fordunste,tr,nsubj-obj,viften fordunster fuktigheten,cause,patient,,
fordype-i,trObl-obRefl-oblAbsinf,nsubj-obj-advcl,han fordyper seg i å forstå historien,agent,null-role,topic,
fordype-i,trObl-obRefl-oblINTERR,nsubj-obj-advcl,han fordyper seg i hva som berettes,agent,null-role,topic,
fordype-i,trObl-obRefl-oblN,nsubj-obj-obl,hun fordyper seg i beretningen,agent,null-role,topic,
fordype,tr-obRefl,nsubj-obj,hun fordyper seg,agent,null-role,,
fordyre,tr,nsubj-obj,boikotten fordyrer utbyggingen,cause,patient,,
fordømme-for,trObl-oblDECL,nsubj-obj-advcl,vi fordømmer dem for at de gjorde det,agent,theme,attribute,
fordømme-for,trObl-oblEqObInf,nsubj-obj-advcl,vi fordømmer dem for å ha begått ugjerningene,agent,theme,attribute,
fordømme-for,trObl-oblINTERR,nsubj-obj-advcl,vi fordømmer dem for hva de gjorde,agent,theme,attribute,
fordømme-for,trObl-oblN,nsubj-obj-obl,vi fordømmer dem for ugjerningene,agent,theme,attribute,
fordømme,tr,nsubj-obj,de fordømmer handlingen,agent,theme,,
fordømme,tr-obDECL,nsubj-ccomp,vi fordømmer at huset bygges,agent,theme,,
fordøye,tr,nsubj-obj,kua fordøyer maten,agent,patient,,
